TALLER;VIN;COLOR;"FECHA PLANIFICADA";"FECHA DE INGRESO A FLUJO";"DÍAS TRANSCURRIDOS AL 20-05-2026";MODELO;MARCA;PROCESO;ESTADO;CONCESIONARIO;OBSERVACIONES
"VARI OVALO";LVTDB11B8VH503056;NEGRO;2026-05-28;2026-05-20;1;"X70FL 1,5T 6MT 4X2 FULL";JETOUR;"ZONA DE INGRESO";PENDIENTE;"REVO MOTORS S.A. ";"VENTA REVO WH GLP 27.03|"
"VARI OVALO";LVTDB11B8VH503123;NEGRO;2026-05-28;2026-05-20;1;"X70FL 1,5T 6MT 4X2 FULL";JETOUR;"ZONA DE INGRESO";PENDIENTE;"REVO MOTORS S.A. ";"VENTA REVO WH GLP 27.03|"
"VARI OVALO";LVTDB11BXVH503088;NEGRO;2026-05-27;2026-05-19;2;"X70FL 1,5T 6MT 4X2 FULL";JETOUR;"ZONA DE INGRESO";PENDIENTE;"AUTOTAXI SATELITAL S.A.C. ";"VENTA SATELITAL GLP 27.03|"
"VARI OVALO";LVTDB11BXVH503205;AZUL;2026-05-27;2026-05-19;2;"X70FL 1,5T 6MT 4X2 FULL";JETOUR;"ZONA DE INGRESO";PENDIENTE;"AUTOTAXI SATELITAL S.A.C. ";"VENTA SATELITAL GLP 27.03|"
"VARI OVALO";LVTDB21B6TH012665;AZUL;2026-05-11;2026-05-05;16;"X70FL 1.5T 6DCT 4X2 LIMITED";JETOUR;"ZONA DE INGRESO";PENDIENTE;"AUTOC. DEL CENTRO S.A.C ";"VENTA AUTOCAMIONES"
"VARI OVALO";LVTDB11B9TH016154;NEGRO;2026-02-03;2026-01-27;114;"X70FL 1.5T 6MT 4X2 FULL";JETOUR;"ZONA DE INGRESO";PENDIENTE;"REVO MOTORS S.A. ";"VENTA REVO GLP"
"VARI OVALO";LVTDB11B0VH502614;BLANCO;2026-05-29;2026-05-20;1;"X70FL 1.5T 6MT 4X2 FULL";JETOUR;"ZONA DE INGRESO";PENDIENTE;"AION S.A.C. ";"VENTA AION 27.03|"
"VARI OVALO";LVTDB11B1VH502590;BLANCO;2026-05-28;2026-05-19;2;"X70FL 1.5T 6MT 4X2 FULL";JETOUR;"ZONA DE INGRESO";PENDIENTE;"AUTOS DEL SUR S.A.C. ";"VENTA AUTOS DEL SUR V 04.04|"
"VARI OVALO";LVTDB11B1VH502895;BLANCO;2026-05-29;2026-05-20;1;"X70FL 1.5T 6MT 4X2 FULL";JETOUR;"ZONA DE INGRESO";PENDIENTE;"GACSA PERU S.A.C. ";"VENTA GACSA 27.03|"
"VARI OVALO";LVTDB11B2VH503053;NEGRO;2026-05-29;2026-05-20;1;"X70FL 1.5T 6MT 4X2 FULL";JETOUR;"ZONA DE INGRESO";PENDIENTE;"GACSA PERU S.A.C. ";"VENTA GACSA 27.03|"
"VARI OVALO";LVTDB11B6VH502620;BLANCO;2026-05-29;2026-05-20;1;"X70FL 1.5T 6MT 4X2 FULL";JETOUR;"ZONA DE INGRESO";PENDIENTE;"REVO MOTORS S.A. ";"VENTA REVO WH MAYO 28.03|"
"VARI OVALO";LVTDB11B6VH502889;BLANCO;2026-05-29;2026-05-20;1;"X70FL 1.5T 6MT 4X2 FULL";JETOUR;"ZONA DE INGRESO";PENDIENTE;"REVO MOTORS S.A. ";"VENTA REVO WH MAYO 28.03|"
"VARI OVALO";LVTDB11B6VH503153;AZUL;2026-05-28;2026-05-20;1;"X70FL 1.5T 6MT 4X2 FULL";JETOUR;"ZONA DE INGRESO";PENDIENTE;"REVO MOTORS S.A. ";"VENTA REVO 27.03|"
"VARI OVALO";LVTDB11BXVH502622;BLANCO;2026-05-28;2026-05-20;1;"X70FL 1.5T 6MT 4X2 FULL";JETOUR;"ZONA DE INGRESO";PENDIENTE;"AUTOTAXI SATELITAL S.A.C. ";"VENTA SATELITAL 27.03|"
"VARI OVALO";LVTDB11BXVH503236;AZUL;2026-05-28;2026-05-20;1;"X70FL 1.5T 6MT 4X2 FULL";JETOUR;"ZONA DE INGRESO";PENDIENTE;"AUTOTAXI SATELITAL S.A.C. ";"VENTA SATELITAL 27.03|"
"VARI OVALO";LS4ASL2E5TE158755P;"AZUL OSCURO";2025-11-15;2025-11-14;188;"NEW V7 1.6 MEC PLUS";KYC;"ZONA DE INGRESO";PENDIENTE;"Altos Andes S.A.C. ";"ADELANTO PDI PUERTO"
"VARI OVALO";LS4ASL2E6TE158845P;"BLANCO BEIGE";2025-11-15;2025-11-14;188;"NEW V7 1.6 MEC PLUS";KYC;"ZONA DE INGRESO";PENDIENTE;"Altos Andes S.A.C. ";"ADELANTO PDI PUERTO"
"VARI OVALO";LS4ASL2E1VE547945;"GRIS OSCURO";2026-05-22;2026-05-16;5;"NEW V7 1.6 MEC PLUS";KYC;"ZONA DE INGRESO";PENDIENTE;"PANDERO S.A. EAFC ";"VENTA PANDERO"
"VARI OVALO";LSCABN3E8TE144301;BLANCO;2026-05-13;2026-05-13;8;"NEW X5 1.5 MEC CARGO BOX";KYC;"ZONA DE INGRESO";PENDIENTE;"Altos Andes S.A.C. ";"ENVIO MARSANO SIN PDI"
"VARI OVALO";VSSZZZKJZLR079594;"GRIS MAGNETIC / TECHO NEGRO";0000-00-00;2026-01-09;132;ARONA;SEAT;"ZONA DE INGRESO";PENDIENTE;;
"VARI OVALO";VSSZZZKJZPR000240;"AZUL ASFALTO / TECHO NEGRO";0000-00-00;2026-02-18;92;"ARONA XPERIENCE 1,6 CA6";SEAT;"ZONA DE INGRESO";PENDIENTE;;
"VARI OVALO";VSSZZZKJZPR000236;"NEGRO MIDNIGHT / TECHO GRIS";0000-00-00;2026-01-09;132;"ARONA XPERIENCE 1.6 CA6";SEAT;"ZONA DE INGRESO";PENDIENTE;;
"VARI OVALO";VSSZZZKJZPR000236;"NEGRO MIDNIGHT / TECHO GRIS";0000-00-00;2026-01-09;132;"ARONA XPERIENCE 1.6 CA6";SEAT;"ZONA DE INGRESO";PENDIENTE;;
"VARI OVALO";VSSZZZKJZPR000236;"NEGRO MIDNIGHT / TECHO GRIS";0000-00-00;2026-01-09;132;"ARONA XPERIENCE 1.6 CA6";SEAT;"ZONA DE INGRESO";PENDIENTE;;
"VARI OVALO";VSSZZZKJZPR000238;"GRIS MAGNETIC / TECHO NEGRO";0000-00-00;2026-01-09;132;"ARONA XPERIENCE 1.6 CA6";SEAT;"ZONA DE INGRESO";PENDIENTE;;
"VARI OVALO";VSSZZZKJZPR000233;"PLATA URBANO / TECHO NEGRO";0000-00-00;2025-10-31;202;"ARONA XPERIENCE 1.6 CA6";SEAT;"ZONA DE INGRESO";PENDIENTE;;
"VARI OVALO";9BWJL45U4TP034314;"NEGRO NINJA";2026-05-26;2026-05-20;1;"SAVEIRO EXTREME CD 1.6 MEC";"VW Pasajeros";"ZONA DE INGRESO";PENDIENTE;"EURO MOTORS S.A. ";"ADELANTO DE PDI"
"VARI OVALO";9BWJL45U4TP034474;"GRIS PIEDRA";2026-05-25;2026-05-20;1;"SAVEIRO EXTREME CD 1.6 MEC";"VW Pasajeros";"ZONA DE INGRESO";PENDIENTE;"EUROSHOP S.A. ";"EUROSHOP S.A. - VW Surquillo"
"VARI OVALO";9BWJL45U8TP034350;"PLATA SIRIUS";2026-05-26;2026-05-20;1;"SAVEIRO EXTREME CD 1.6 MEC";"VW Pasajeros";"ZONA DE INGRESO";PENDIENTE;"EURO MOTORS S.A. ";"ADELANTO DE PDI"
"VARI OVALO";9BWJL45U0TP040837;"PLATA SIRIUS";2026-05-26;2026-05-20;1;"SAVEIRO EXTREME CD 1.6 MEC";"VW Pasajeros";"ZONA DE INGRESO";PENDIENTE;"EURO MOTORS S.A. ";"ADELANTO DE PDI"
"VARI OVALO";9BWJL45U0TP040854;"NEGRO NINJA";2026-05-26;2026-05-20;1;"SAVEIRO EXTREME CD 1.6 MEC";"VW Pasajeros";"ZONA DE INGRESO";PENDIENTE;"EURO MOTORS S.A. ";"ADELANTO DE PDI"
"VARI OVALO";9BWJL45U0TP040997;"GRIS PIEDRA";2026-05-26;2026-05-20;1;"SAVEIRO EXTREME CD 1.6 MEC";"VW Pasajeros";"ZONA DE INGRESO";PENDIENTE;"EURO MOTORS S.A. ";"ADELANTO DE PDI"
"VARI OVALO";9BWJL45U8TP009514R;"PLATA SIRIUS";2026-05-26;2026-05-20;1;"SAVEIRO EXTREME CD 1.6 MEC";"VW Pasajeros";"ZONA DE INGRESO";PENDIENTE;"EURO MOTORS S.A. ";"ADELANTO DE PDI"
"VARI OVALO";9BWBH6BF6T4099321;"GRIS PLATINO";2026-05-25;2026-05-20;1;"T-CROSS COMFORTLINE 170 TSI MEC";"VW Pasajeros";"ZONA DE INGRESO";PENDIENTE;"MANNUCCI DIESEL S.A.C. ";"MANNUCCI DIESEL S.A.C."
"VARI OVALO";9BWBH6BF4T4099768;"GRIS PLATINO";2026-05-25;2026-05-20;1;"T-CROSS HIGHLINE 200 TSI TIP";"VW Pasajeros";"ZONA DE INGRESO";PENDIENTE;"EUROSHOP S.A. ";"EUROSHOP S.A. - VW Surquillo"
"VARI OVALO";9BWBH6DF4TT403555;"AZUL CRISTALINO";2026-05-25;2026-05-20;1;"TERA COMFORT 170 TSI 1.0L TIP";"VW Pasajeros";"ZONA DE INGRESO";PENDIENTE;"EUROSHOP S.A. ";"EUROSHOP S.A. - VW Surquillo"
"VARI OVALO";9BWBH6DF1TT327034RR;"AZUL MALIBU";2026-05-22;2026-05-15;6;"TERA HIGH 165 TSI 1.0L TIP";"VW Pasajeros";"ZONA DE INGRESO";PENDIENTE;"EURO MOTORS S.A. ";"ADELANTO PDI RPTS."
"VARI OVALO";3VVDP6RM5TM087564;"GRIS ASCOT";2026-05-25;2026-05-20;1;"TIGUAN LIFE 250TSI, 1.4L, 2WD";"VW Pasajeros";"ZONA DE INGRESO";PENDIENTE;"EUROSHOP S.A. ";"EUROSHOP S.A. - VW La Molina"
"VARI OVALO";3VVDP6RM6TM083667;"GRIS ASCOT";2026-05-25;2026-05-20;1;"TIGUAN LIFE 250TSI, 1.4L, 2WD";"VW Pasajeros";"ZONA DE INGRESO";PENDIENTE;"EUROSHOP S.A. ";"EUROSHOP S.A. - VW Mall Plaza Norte"
